states,city,description
Missouri,"Gladstone, MO","The crime incident count of Gladstone, MO was 68 for aggravated assault. The crime incident count of Gladstone, MO was 1,553 for all crimes. The crime incident count of Gladstone, MO was 5 for arson. The crime incident count of Gladstone, MO was 128 for burglary. The crime incident count of Gladstone, MO was 490 for larceny. The crime incident count of Gladstone, MO was 71 for motor vehicle theft. The crime incident count of Gladstone, MO was 0 for murder and nonnegligent manslaughter. The crime incident count of Gladstone, MO was 689 for property crime. The crime incident count of Gladstone, MO was 8 for rape (revised definition). The crime incident count of Gladstone, MO was 9 for robbery. The crime incident count of Gladstone, MO was 85 for violent crime."
Missouri,"Hazelwood, MO","The crime incident count of Hazelwood, MO was 1,794 for all crimes. The crime incident count of Hazelwood, MO was 1 for arson. The crime incident count of Hazelwood, MO was 178 for burglary. The crime incident count of Hazelwood, MO was 596 for larceny. The crime incident count of Hazelwood, MO was 96 for motor vehicle theft. The crime incident count of Hazelwood, MO was 2 for murder and nonnegligent manslaughter. The crime incident count of Hazelwood, MO was 870 for property crime. The crime incident count of Hazelwood, MO was 5 for rape (revised definition). The crime incident count of Hazelwood, MO was 46 for robbery."
Missouri,"Independence, MO","The crime incident count of Independence, MO was 403 for aggravated assault. The crime incident count of Independence, MO was 13,995 for all crimes. The crime incident count of Independence, MO was 15 for arson. The crime incident count of Independence, MO was 891 for burglary. The crime incident count of Independence, MO was 4,542 for larceny. The crime incident count of Independence, MO was 956 for motor vehicle theft. The crime incident count of Independence, MO was 9 for murder and nonnegligent manslaughter. The crime incident count of Independence, MO was 6,389 for property crime. The crime incident count of Independence, MO was 49 for rape (revised definition). The crime incident count of Independence, MO was 140 for robbery. The crime incident count of Independence, MO was 601 for violent crime."
Missouri,"Jefferson City, MO","The crime incident count of Jefferson City, MO was 126 for aggravated assault. The crime incident count of Jefferson City, MO was 2,985 for all crimes. The crime incident count of Jefferson City, MO was 1 for arson. The crime incident count of Jefferson City, MO was 179 for burglary. The crime incident count of Jefferson City, MO was 1,085 for larceny. The crime incident count of Jefferson City, MO was 54 for motor vehicle theft. The crime incident count of Jefferson City, MO was 4 for murder and nonnegligent manslaughter. The crime incident count of Jefferson City, MO was 1,318 for property crime. The crime incident count of Jefferson City, MO was 9 for rape (revised definition). The crime incident count of Jefferson City, MO was 35 for robbery. The crime incident count of Jefferson City, MO was 174 for violent crime."
Missouri,"Joplin, MO","The crime incident count of Joplin, MO was 203 for aggravated assault. The crime incident count of Joplin, MO was 8,237 for all crimes. The crime incident count of Joplin, MO was 21 for arson. The crime incident count of Joplin, MO was 569 for burglary. The crime incident count of Joplin, MO was 2,895 for larceny. The crime incident count of Joplin, MO was 315 for motor vehicle theft. The crime incident count of Joplin, MO was 2 for murder and nonnegligent manslaughter. The crime incident count of Joplin, MO was 3,779 for property crime. The crime incident count of Joplin, MO was 52 for rape (revised definition). The crime incident count of Joplin, MO was 72 for robbery. The crime incident count of Joplin, MO was 329 for violent crime."
Missouri,"Kansas City, MO","The crime incident count of Kansas City, MO was 5,481 for aggravated assault. The crime incident count of Kansas City, MO was 57,702 for all crimes. The crime incident count of Kansas City, MO was 188 for arson. The crime incident count of Kansas City, MO was 4,764 for burglary. The crime incident count of Kansas City, MO was 12,127 for larceny. The crime incident count of Kansas City, MO was 3,951 for motor vehicle theft. The crime incident count of Kansas City, MO was 129 for murder and nonnegligent manslaughter. The crime incident count of Kansas City, MO was 20,842 for property crime. The crime incident count of Kansas City, MO was 408 for rape (revised definition). The crime incident count of Kansas City, MO was 1,897 for robbery. The crime incident count of Kansas City, MO was 7,915 for violent crime."
Missouri,"Kirkwood, MO","The crime incident count of Kirkwood, MO was 15 for aggravated assault. The crime incident count of Kirkwood, MO was 1,060 for all crimes. The crime incident count of Kirkwood, MO was 0 for arson. The crime incident count of Kirkwood, MO was 41 for burglary. The crime incident count of Kirkwood, MO was 430 for larceny. The crime incident count of Kirkwood, MO was 30 for motor vehicle theft. The crime incident count of Kirkwood, MO was 0 for murder and nonnegligent manslaughter. The crime incident count of Kirkwood, MO was 501 for property crime. The crime incident count of Kirkwood, MO was 5 for rape (revised definition). The crime incident count of Kirkwood, MO was 9 for robbery. The crime incident count of Kirkwood, MO was 29 for violent crime."
Missouri,"Liberty, MO","The crime incident count of Liberty, MO was 55 for aggravated assault. The crime incident count of Liberty, MO was 1,088 for all crimes. The crime incident count of Liberty, MO was 2 for arson. The crime incident count of Liberty, MO was 74 for burglary. The crime incident count of Liberty, MO was 328 for larceny. The crime incident count of Liberty, MO was 58 for motor vehicle theft. The crime incident count of Liberty, MO was 0 for murder and nonnegligent manslaughter. The crime incident count of Liberty, MO was 460 for property crime. The crime incident count of Liberty, MO was 20 for rape (revised definition). The crime incident count of Liberty, MO was 8 for robbery. The crime incident count of Liberty, MO was 83 for violent crime."
Missouri,"Maryland Heights, MO","The crime incident count of Maryland Heights, MO was 20 for aggravated assault. The crime incident count of Maryland Heights, MO was 1,052 for all crimes. The crime incident count of Maryland Heights, MO was 2 for arson. The crime incident count of Maryland Heights, MO was 50 for burglary. The crime incident count of Maryland Heights, MO was 385 for larceny. The crime incident count of Maryland Heights, MO was 35 for motor vehicle theft. The crime incident count of Maryland Heights, MO was 0 for murder and nonnegligent manslaughter. The crime incident count of Maryland Heights, MO was 470 for property crime. The crime incident count of Maryland Heights, MO was 17 for rape (revised definition). The crime incident count of Maryland Heights, MO was 18 for robbery. The crime incident count of Maryland Heights, MO was 55 for violent crime."
Missouri,"Raytown, MO","The crime incident count of Raytown, MO was 106 for aggravated assault. The crime incident count of Raytown, MO was 3,171 for all crimes. The crime incident count of Raytown, MO was 3 for arson. The crime incident count of Raytown, MO was 320 for burglary. The crime incident count of Raytown, MO was 916 for larceny. The crime incident count of Raytown, MO was 168 for motor vehicle theft. The crime incident count of Raytown, MO was 0 for murder and nonnegligent manslaughter. The crime incident count of Raytown, MO was 1,404 for property crime. The crime incident count of Raytown, MO was 19 for rape (revised definition). The crime incident count of Raytown, MO was 55 for robbery. The crime incident count of Raytown, MO was 180 for violent crime."
Missouri,"Springfield, MO","The crime incident count of Springfield, MO was 1,522 for aggravated assault. The crime incident count of Springfield, MO was 33,074 for all crimes. The crime incident count of Springfield, MO was 70 for arson. The crime incident count of Springfield, MO was 2,120 for burglary. The crime incident count of Springfield, MO was 10,483 for larceny. The crime incident count of Springfield, MO was 1,648 for motor vehicle theft. The crime incident count of Springfield, MO was 8 for murder and nonnegligent manslaughter. The crime incident count of Springfield, MO was 14,251 for property crime. The crime incident count of Springfield, MO was 293 for rape (revised definition). The crime incident count of Springfield, MO was 428 for robbery. The crime incident count of Springfield, MO was 2,251 for violent crime."
Missouri,"University City, MO","The crime incident count of University City, MO was 164 for aggravated assault. The crime incident count of University City, MO was 3,287 for all crimes. The crime incident count of University City, MO was 7 for arson. The crime incident count of University City, MO was 228 for burglary. The crime incident count of University City, MO was 1,032 for larceny. The crime incident count of University City, MO was 126 for motor vehicle theft. The crime incident count of University City, MO was 3 for murder and nonnegligent manslaughter. The crime incident count of University City, MO was 1,386 for property crime. The crime incident count of University City, MO was 10 for rape (revised definition). The crime incident count of University City, MO was 77 for robbery. The crime incident count of University City, MO was 254 for violent crime."
Mississippi,"Biloxi, MS","The crime incident count of Biloxi, MS was 68 for aggravated assault. The crime incident count of Biloxi, MS was 5,732 for all crimes. The crime incident count of Biloxi, MS was 8 for arson. The crime incident count of Biloxi, MS was 805 for burglary. The crime incident count of Biloxi, MS was 1,721 for larceny. The crime incident count of Biloxi, MS was 155 for motor vehicle theft. The crime incident count of Biloxi, MS was 2 for murder and nonnegligent manslaughter. The crime incident count of Biloxi, MS was 2,681 for property crime. The crime incident count of Biloxi, MS was 31 for rape (revised definition). The crime incident count of Biloxi, MS was 80 for robbery. The crime incident count of Biloxi, MS was 181 for violent crime."
Mississippi,"Greenville, MS","The crime incident count of Greenville, MS was 8 for aggravated assault. The crime incident count of Greenville, MS was 4,170 for all crimes. The crime incident count of Greenville, MS was 56 for arson. The crime incident count of Greenville, MS was 930 for burglary. The crime incident count of Greenville, MS was 961 for larceny. The crime incident count of Greenville, MS was 78 for motor vehicle theft. The crime incident count of Greenville, MS was 7 for murder and nonnegligent manslaughter. The crime incident count of Greenville, MS was 1,969 for property crime. The crime incident count of Greenville, MS was 16 for rape (legacy definition). The crime incident count of Greenville, MS was 57 for robbery. The crime incident count of Greenville, MS was 88 for violent crime."
Mississippi,"Gulfport, MS","The crime incident count of Gulfport, MS was 94 for aggravated assault. The crime incident count of Gulfport, MS was 8,118 for all crimes. The crime incident count of Gulfport, MS was 26 for arson. The crime incident count of Gulfport, MS was 638 for burglary. The crime incident count of Gulfport, MS was 3,002 for larceny. The crime incident count of Gulfport, MS was 178 for motor vehicle theft. The crime incident count of Gulfport, MS was 10 for murder and nonnegligent manslaughter. The crime incident count of Gulfport, MS was 3,818 for property crime. The crime incident count of Gulfport, MS was 27 for rape (revised definition). The crime incident count of Gulfport, MS was 97 for robbery. The crime incident count of Gulfport, MS was 228 for violent crime."
Mississippi,"Hattiesburg, MS","The crime incident count of Hattiesburg, MS was 77 for aggravated assault. The crime incident count of Hattiesburg, MS was 5,801 for all crimes. The crime incident count of Hattiesburg, MS was 3 for arson. The crime incident count of Hattiesburg, MS was 374 for burglary. The crime incident count of Hattiesburg, MS was 2,292 for larceny. The crime incident count of Hattiesburg, MS was 86 for motor vehicle theft. The crime incident count of Hattiesburg, MS was 8 for murder and nonnegligent manslaughter. The crime incident count of Hattiesburg, MS was 2,752 for property crime. The crime incident count of Hattiesburg, MS was 10 for rape (revised definition). The crime incident count of Hattiesburg, MS was 52 for robbery. The crime incident count of Hattiesburg, MS was 147 for violent crime."
Mississippi,"Jackson, MS","The crime incident count of Jackson, MS was 605 for aggravated assault. The crime incident count of Jackson, MS was 18,765 for all crimes. The crime incident count of Jackson, MS was 95 for arson. The crime incident count of Jackson, MS was 1,948 for burglary. The crime incident count of Jackson, MS was 5,064 for larceny. The crime incident count of Jackson, MS was 872 for motor vehicle theft. The crime incident count of Jackson, MS was 58 for murder and nonnegligent manslaughter. The crime incident count of Jackson, MS was 7,884 for property crime. The crime incident count of Jackson, MS was 107 for rape (legacy definition). The crime incident count of Jackson, MS was 681 for robbery. The crime incident count of Jackson, MS was 1,451 for violent crime."
Mississippi,"Meridian, MS","The crime incident count of Meridian, MS was 74 for aggravated assault. The crime incident count of Meridian, MS was 4,099 for all crimes. The crime incident count of Meridian, MS was 5 for arson. The crime incident count of Meridian, MS was 693 for burglary. The crime incident count of Meridian, MS was 985 for larceny. The crime incident count of Meridian, MS was 135 for motor vehicle theft. The crime incident count of Meridian, MS was 8 for murder and nonnegligent manslaughter. The crime incident count of Meridian, MS was 1,813 for property crime. The crime incident count of Meridian, MS was 24 for rape (revised definition). The crime incident count of Meridian, MS was 128 for robbery. The crime incident count of Meridian, MS was 234 for violent crime."
Mississippi,"Southaven, MS","The crime incident count of Southaven, MS was 26 for aggravated assault. The crime incident count of Southaven, MS was 3,083 for all crimes. The crime incident count of Southaven, MS was 5 for arson. The crime incident count of Southaven, MS was 128 for burglary. The crime incident count of Southaven, MS was 1,318 for larceny. The crime incident count of Southaven, MS was 34 for motor vehicle theft. The crime incident count of Southaven, MS was 1 for murder and nonnegligent manslaughter. The crime incident count of Southaven, MS was 1,480 for property crime. The crime incident count of Southaven, MS was 5 for rape (revised definition). The crime incident count of Southaven, MS was 27 for robbery. The crime incident count of Southaven, MS was 59 for violent crime."
Mississippi,"Vicksburg, MS","The crime incident count of Vicksburg, MS was 105 for aggravated assault. The crime incident count of Vicksburg, MS was 3,134 for all crimes. The crime incident count of Vicksburg, MS was 4 for arson. The crime incident count of Vicksburg, MS was 240 for burglary. The crime incident count of Vicksburg, MS was 1,126 for larceny. The crime incident count of Vicksburg, MS was 64 for motor vehicle theft. The crime incident count of Vicksburg, MS was 3 for murder and nonnegligent manslaughter. The crime incident count of Vicksburg, MS was 1,430 for property crime. The crime incident count of Vicksburg, MS was 7 for rape (legacy definition). The crime incident count of Vicksburg, MS was 20 for robbery. The crime incident count of Vicksburg, MS was 135 for violent crime."
Montana,"Billings, MT","The crime incident count of Billings, MT was 372 for aggravated assault. The crime incident count of Billings, MT was 11,487 for all crimes. The crime incident count of Billings, MT was 27 for arson. The crime incident count of Billings, MT was 723 for burglary. The crime incident count of Billings, MT was 3,698 for larceny. The crime incident count of Billings, MT was 795 for motor vehicle theft. The crime incident count of Billings, MT was 0 for murder and nonnegligent manslaughter. The crime incident count of Billings, MT was 5,216 for property crime. The crime incident count of Billings, MT was 61 for rape (revised definition). The crime incident count of Billings, MT was 81 for robbery. The crime incident count of Billings, MT was 514 for violent crime."
Montana,"Bozeman, MT","The crime incident count of Bozeman, MT was 96 for aggravated assault. The crime incident count of Bozeman, MT was 2,814 for all crimes. The crime incident count of Bozeman, MT was 8 for arson. The crime incident count of Bozeman, MT was 124 for burglary. The crime incident count of Bozeman, MT was 1,061 for larceny. The crime incident count of Bozeman, MT was 70 for motor vehicle theft. The crime incident count of Bozeman, MT was 1 for murder and nonnegligent manslaughter. The crime incident count of Bozeman, MT was 1,255 for property crime. The crime incident count of Bozeman, MT was 44 for rape (revised definition). The crime incident count of Bozeman, MT was 7 for robbery. The crime incident count of Bozeman, MT was 148 for violent crime."
Montana,"Great Falls, MT","The crime incident count of Great Falls, MT was 123 for aggravated assault. The crime incident count of Great Falls, MT was 6,220 for all crimes. The crime incident count of Great Falls, MT was 8 for arson. The crime incident count of Great Falls, MT was 365 for burglary. The crime incident count of Great Falls, MT was 2,364 for larceny. The crime incident count of Great Falls, MT was 215 for motor vehicle theft. The crime incident count of Great Falls, MT was 3 for murder and nonnegligent manslaughter. The crime incident count of Great Falls, MT was 2,944 for property crime. The crime incident count of Great Falls, MT was 21 for rape (revised definition). The crime incident count of Great Falls, MT was 15 for robbery. The crime incident count of Great Falls, MT was 162 for violent crime."
Montana,"Helena, MT","The crime incident count of Helena, MT was 130 for aggravated assault. The crime incident count of Helena, MT was 2,822 for all crimes. The crime incident count of Helena, MT was 10 for arson. The crime incident count of Helena, MT was 151 for burglary. The crime incident count of Helena, MT was 962 for larceny. The crime incident count of Helena, MT was 90 for motor vehicle theft. The crime incident count of Helena, MT was 3 for murder and nonnegligent manslaughter. The crime incident count of Helena, MT was 1,203 for property crime. The crime incident count of Helena, MT was 52 for rape (revised definition). The crime incident count of Helena, MT was 18 for robbery. The crime incident count of Helena, MT was 203 for violent crime."
Montana,"Missoula, MT","The crime incident count of Missoula, MT was 252 for aggravated assault. The crime incident count of Missoula, MT was 8,289 for all crimes. The crime incident count of Missoula, MT was 13 for arson. The crime incident count of Missoula, MT was 401 for burglary. The crime incident count of Missoula, MT was 3,156 for larceny. The crime incident count of Missoula, MT was 204 for motor vehicle theft. The crime incident count of Missoula, MT was 0 for murder and nonnegligent manslaughter. The crime incident count of Missoula, MT was 3,761 for property crime. The crime incident count of Missoula, MT was 65 for rape (revised definition). The crime incident count of Missoula, MT was 60 for robbery. The crime incident count of Missoula, MT was 377 for violent crime."
North Carolina,"Asheville, NC","The crime incident count of Asheville, NC was 335 for aggravated assault. The crime incident count of Asheville, NC was 9,795 for all crimes. The crime incident count of Asheville, NC was 7 for arson. The crime incident count of Asheville, NC was 752 for burglary. The crime incident count of Asheville, NC was 3,345 for larceny. The crime incident count of Asheville, NC was 260 for motor vehicle theft. The crime incident count of Asheville, NC was 10 for murder and nonnegligent manslaughter. The crime incident count of Asheville, NC was 4,357 for property crime. The crime incident count of Asheville, NC was 48 for rape (legacy definition). The crime incident count of Asheville, NC was 144 for robbery. The crime incident count of Asheville, NC was 537 for violent crime."
North Carolina,"Burlington, NC","The crime incident count of Burlington, NC was 300 for aggravated assault. The crime incident count of Burlington, NC was 4,451 for all crimes. The crime incident count of Burlington, NC was 1 for arson. The crime incident count of Burlington, NC was 430 for burglary. The crime incident count of Burlington, NC was 1,309 for larceny. The crime incident count of Burlington, NC was 94 for motor vehicle theft. The crime incident count of Burlington, NC was 6 for murder and nonnegligent manslaughter. The crime incident count of Burlington, NC was 1,833 for property crime. The crime incident count of Burlington, NC was 15 for rape (legacy definition). The crime incident count of Burlington, NC was 71 for robbery. The crime incident count of Burlington, NC was 392 for violent crime."
North Carolina,"Cary, NC","The crime incident count of Cary, NC was 62 for aggravated assault. The crime incident count of Cary, NC was 3,621 for all crimes. The crime incident count of Cary, NC was 7 for arson. The crime incident count of Cary, NC was 234 for burglary. The crime incident count of Cary, NC was 1,363 for larceny. The crime incident count of Cary, NC was 59 for motor vehicle theft. The crime incident count of Cary, NC was 1 for murder and nonnegligent manslaughter. The crime incident count of Cary, NC was 1,656 for property crime. The crime incident count of Cary, NC was 20 for rape (legacy definition). The crime incident count of Cary, NC was 68 for robbery. The crime incident count of Cary, NC was 151 for violent crime."
North Carolina,"Chapel Hill, NC","The crime incident count of Chapel Hill, NC was 63 for aggravated assault. The crime incident count of Chapel Hill, NC was 2,955 for all crimes. The crime incident count of Chapel Hill, NC was 3 for arson. The crime incident count of Chapel Hill, NC was 280 for burglary. The crime incident count of Chapel Hill, NC was 1,017 for larceny. The crime incident count of Chapel Hill, NC was 66 for motor vehicle theft. The crime incident count of Chapel Hill, NC was 2 for murder and nonnegligent manslaughter. The crime incident count of Chapel Hill, NC was 1,363 for property crime. The crime incident count of Chapel Hill, NC was 15 for rape (legacy definition). The crime incident count of Chapel Hill, NC was 33 for robbery. The crime incident count of Chapel Hill, NC was 113 for violent crime."
North Carolina,"Concord, NC","The crime incident count of Concord, NC was 61 for aggravated assault. The crime incident count of Concord, NC was 4,666 for all crimes. The crime incident count of Concord, NC was 8 for arson. The crime incident count of Concord, NC was 346 for burglary. The crime incident count of Concord, NC was 1,759 for larceny. The crime incident count of Concord, NC was 100 for motor vehicle theft. The crime incident count of Concord, NC was 5 for murder and nonnegligent manslaughter. The crime incident count of Concord, NC was 2,205 for property crime. The crime incident count of Concord, NC was 13 for rape (legacy definition). The crime incident count of Concord, NC was 45 for robbery. The crime incident count of Concord, NC was 124 for violent crime."
North Carolina,"Fayetteville, NC","The crime incident count of Fayetteville, NC was 1,083 for aggravated assault. The crime incident count of Fayetteville, NC was 21,524 for all crimes. The crime incident count of Fayetteville, NC was 60 for arson. The crime incident count of Fayetteville, NC was 1,868 for burglary. The crime incident count of Fayetteville, NC was 6,942 for larceny. The crime incident count of Fayetteville, NC was 391 for motor vehicle theft. The crime incident count of Fayetteville, NC was 33 for murder and nonnegligent manslaughter. The crime incident count of Fayetteville, NC was 9,201 for property crime. The crime incident count of Fayetteville, NC was 99 for rape (legacy definition). The crime incident count of Fayetteville, NC was 316 for robbery. The crime incident count of Fayetteville, NC was 1,531 for violent crime."
North Carolina,"Goldsboro, NC","The crime incident count of Goldsboro, NC was 291 for aggravated assault. The crime incident count of Goldsboro, NC was 4,781 for all crimes. The crime incident count of Goldsboro, NC was 5 for arson. The crime incident count of Goldsboro, NC was 484 for burglary. The crime incident count of Goldsboro, NC was 1,416 for larceny. The crime incident count of Goldsboro, NC was 99 for motor vehicle theft. The crime incident count of Goldsboro, NC was 11 for murder and nonnegligent manslaughter. The crime incident count of Goldsboro, NC was 1,999 for property crime. The crime incident count of Goldsboro, NC was 3 for rape (legacy definition). The crime incident count of Goldsboro, NC was 84 for robbery. The crime incident count of Goldsboro, NC was 389 for violent crime."
North Carolina,"Hickory, NC","The crime incident count of Hickory, NC was 84 for aggravated assault. The crime incident count of Hickory, NC was 4,244 for all crimes. The crime incident count of Hickory, NC was 8 for arson. The crime incident count of Hickory, NC was 362 for burglary. The crime incident count of Hickory, NC was 1,482 for larceny. The crime incident count of Hickory, NC was 109 for motor vehicle theft. The crime incident count of Hickory, NC was 6 for murder and nonnegligent manslaughter. The crime incident count of Hickory, NC was 1,953 for property crime. The crime incident count of Hickory, NC was 19 for rape (legacy definition). The crime incident count of Hickory, NC was 56 for robbery. The crime incident count of Hickory, NC was 165 for violent crime."
North Carolina,"High Point, NC","The crime incident count of High Point, NC was 458 for aggravated assault. The crime incident count of High Point, NC was 9,417 for all crimes. The crime incident count of High Point, NC was 9 for arson. The crime incident count of High Point, NC was 781 for burglary. The crime incident count of High Point, NC was 2,992 for larceny. The crime incident count of High Point, NC was 210 for motor vehicle theft. The crime incident count of High Point, NC was 7 for murder and nonnegligent manslaughter. The crime incident count of High Point, NC was 3,983 for property crime. The crime incident count of High Point, NC was 36 for rape (legacy definition). The crime incident count of High Point, NC was 220 for robbery. The crime incident count of High Point, NC was 721 for violent crime."
North Carolina,"Kannapolis, NC","The crime incident count of Kannapolis, NC was 70 for aggravated assault. The crime incident count of Kannapolis, NC was 2,111 for all crimes. The crime incident count of Kannapolis, NC was 3 for arson. The crime incident count of Kannapolis, NC was 228 for burglary. The crime incident count of Kannapolis, NC was 636 for larceny. The crime incident count of Kannapolis, NC was 72 for motor vehicle theft. The crime incident count of Kannapolis, NC was 1 for murder and nonnegligent manslaughter. The crime incident count of Kannapolis, NC was 936 for property crime. The crime incident count of Kannapolis, NC was 15 for rape (legacy definition). The crime incident count of Kannapolis, NC was 32 for robbery. The crime incident count of Kannapolis, NC was 118 for violent crime."
North Carolina,"Monroe, NC","The crime incident count of Monroe, NC was 153 for aggravated assault. The crime incident count of Monroe, NC was 4,389 for all crimes. The crime incident count of Monroe, NC was 7 for arson. The crime incident count of Monroe, NC was 348 for burglary. The crime incident count of Monroe, NC was 1,534 for larceny. The crime incident count of Monroe, NC was 82 for motor vehicle theft. The crime incident count of Monroe, NC was 1 for murder and nonnegligent manslaughter. The crime incident count of Monroe, NC was 1,964 for property crime. The crime incident count of Monroe, NC was 5 for rape (legacy definition). The crime incident count of Monroe, NC was 68 for robbery. The crime incident count of Monroe, NC was 227 for violent crime."
North Carolina,"Rocky Mount, NC","The crime incident count of Rocky Mount, NC was 303 for aggravated assault. The crime incident count of Rocky Mount, NC was 1,573 for all crimes. The crime incident count of Rocky Mount, NC was 12 for arson. The crime incident count of Rocky Mount, NC was 593 for burglary. The crime incident count of Rocky Mount, NC was 98 for motor vehicle theft. The crime incident count of Rocky Mount, NC was 4 for murder and nonnegligent manslaughter. The crime incident count of Rocky Mount, NC was 12 for rape (legacy definition). The crime incident count of Rocky Mount, NC was 116 for robbery. The crime incident count of Rocky Mount, NC was 435 for violent crime."
North Carolina,"Salisbury, NC","The crime incident count of Salisbury, NC was 235 for aggravated assault. The crime incident count of Salisbury, NC was 4,003 for all crimes. The crime incident count of Salisbury, NC was 15 for arson. The crime incident count of Salisbury, NC was 416 for burglary. The crime incident count of Salisbury, NC was 1,169 for larceny. The crime incident count of Salisbury, NC was 77 for motor vehicle theft. The crime incident count of Salisbury, NC was 14 for murder and nonnegligent manslaughter. The crime incident count of Salisbury, NC was 1,662 for property crime. The crime incident count of Salisbury, NC was 9 for rape (legacy definition). The crime incident count of Salisbury, NC was 74 for robbery. The crime incident count of Salisbury, NC was 332 for violent crime."
North Carolina,"Wilmington, NC","The crime incident count of Wilmington, NC was 496 for aggravated assault. The crime incident count of Wilmington, NC was 11,071 for all crimes. The crime incident count of Wilmington, NC was 11 for arson. The crime incident count of Wilmington, NC was 1,277 for burglary. The crime incident count of Wilmington, NC was 3,219 for larceny. The crime incident count of Wilmington, NC was 275 for motor vehicle theft. The crime incident count of Wilmington, NC was 15 for murder and nonnegligent manslaughter. The crime incident count of Wilmington, NC was 4,771 for property crime. The crime incident count of Wilmington, NC was 44 for rape (legacy definition). The crime incident count of Wilmington, NC was 204 for robbery. The crime incident count of Wilmington, NC was 759 for violent crime."
North Dakota,"Bismarck, ND","The crime incident count of Bismarck, ND was 146 for aggravated assault. The crime incident count of Bismarck, ND was 5,374 for all crimes. The crime incident count of Bismarck, ND was 6 for arson. The crime incident count of Bismarck, ND was 468 for burglary. The crime incident count of Bismarck, ND was 1,715 for larceny. The crime incident count of Bismarck, ND was 289 for motor vehicle theft. The crime incident count of Bismarck, ND was 2 for murder and nonnegligent manslaughter. The crime incident count of Bismarck, ND was 2,472 for property crime. The crime incident count of Bismarck, ND was 35 for rape (revised definition). The crime incident count of Bismarck, ND was 29 for robbery. The crime incident count of Bismarck, ND was 212 for violent crime."
North Dakota,"Fargo, ND","The crime incident count of Fargo, ND was 317 for aggravated assault. The crime incident count of Fargo, ND was 8,641 for all crimes. The crime incident count of Fargo, ND was 21 for arson. The crime incident count of Fargo, ND was 566 for burglary. The crime incident count of Fargo, ND was 2,962 for larceny. The crime incident count of Fargo, ND was 315 for motor vehicle theft. The crime incident count of Fargo, ND was 3 for murder and nonnegligent manslaughter. The crime incident count of Fargo, ND was 3,843 for property crime. The crime incident count of Fargo, ND was 79 for rape (revised definition). The crime incident count of Fargo, ND was 68 for robbery. The crime incident count of Fargo, ND was 467 for violent crime."
North Dakota,"Grand Forks, ND","The crime incident count of Grand Forks, ND was 113 for aggravated assault. The crime incident count of Grand Forks, ND was 3,921 for all crimes. The crime incident count of Grand Forks, ND was 1 for arson. The crime incident count of Grand Forks, ND was 303 for burglary. The crime incident count of Grand Forks, ND was 1,345 for larceny. The crime incident count of Grand Forks, ND was 135 for motor vehicle theft. The crime incident count of Grand Forks, ND was 1 for murder and nonnegligent manslaughter. The crime incident count of Grand Forks, ND was 1,783 for property crime. The crime incident count of Grand Forks, ND was 36 for rape (revised definition). The crime incident count of Grand Forks, ND was 27 for robbery. The crime incident count of Grand Forks, ND was 177 for violent crime."
North Dakota,"Minot, ND","The crime incident count of Minot, ND was 90 for aggravated assault. The crime incident count of Minot, ND was 3,029 for all crimes. The crime incident count of Minot, ND was 7 for arson. The crime incident count of Minot, ND was 305 for burglary. The crime incident count of Minot, ND was 854 for larceny. The crime incident count of Minot, ND was 214 for motor vehicle theft. The crime incident count of Minot, ND was 1 for murder and nonnegligent manslaughter. The crime incident count of Minot, ND was 1,373 for property crime. The crime incident count of Minot, ND was 24 for rape (revised definition). The crime incident count of Minot, ND was 23 for robbery. The crime incident count of Minot, ND was 138 for violent crime."
Nebraska,"Bellevue, NE","The crime incident count of Bellevue, NE was 23 for aggravated assault. The crime incident count of Bellevue, NE was 2,143 for all crimes. The crime incident count of Bellevue, NE was 7 for arson. The crime incident count of Bellevue, NE was 114 for burglary. The crime incident count of Bellevue, NE was 752 for larceny. The crime incident count of Bellevue, NE was 128 for motor vehicle theft. The crime incident count of Bellevue, NE was 0 for murder and nonnegligent manslaughter. The crime incident count of Bellevue, NE was 994 for property crime. The crime incident count of Bellevue, NE was 37 for rape (revised definition). The crime incident count of Bellevue, NE was 14 for robbery. The crime incident count of Bellevue, NE was 74 for violent crime."
Nebraska,"Fremont, NE","The crime incident count of Fremont, NE was 29 for aggravated assault. The crime incident count of Fremont, NE was 1,319 for all crimes. The crime incident count of Fremont, NE was 11 for arson. The crime incident count of Fremont, NE was 93 for burglary. The crime incident count of Fremont, NE was 476 for larceny. The crime incident count of Fremont, NE was 28 for motor vehicle theft. The crime incident count of Fremont, NE was 0 for murder and nonnegligent manslaughter. The crime incident count of Fremont, NE was 597 for property crime. The crime incident count of Fremont, NE was 23 for rape (revised definition). The crime incident count of Fremont, NE was 5 for robbery. The crime incident count of Fremont, NE was 57 for violent crime."
Nebraska,"Grand Island, NE","The crime incident count of Grand Island, NE was 118 for aggravated assault. The crime incident count of Grand Island, NE was 3,591 for all crimes. The crime incident count of Grand Island, NE was 5 for arson. The crime incident count of Grand Island, NE was 236 for burglary. The crime incident count of Grand Island, NE was 1,297 for larceny. The crime incident count of Grand Island, NE was 87 for motor vehicle theft. The crime incident count of Grand Island, NE was 1 for murder and nonnegligent manslaughter. The crime incident count of Grand Island, NE was 1,620 for property crime. The crime incident count of Grand Island, NE was 34 for rape (revised definition). The crime incident count of Grand Island, NE was 20 for robbery. The crime incident count of Grand Island, NE was 173 for violent crime."
